CWE,NVD_count,Avg_CVSS_V3,min_CVSS_V3,max_CVSS_V3,avg_CVSS_V3_severity,avg_CVSS_V3_exploitability,Sv_cwe,CWE_score
CWE-90,2,4.6,1.8,10.0,1.5,2.0,0.34146341463414637,0.008422876532662714
CWE-184,4,8.725000000000001,1.8,10.0,3.5,2.8000000000000003,0.8445121951219515,0.062494735702167105
CWE-255,7,9.028571428571428,1.8,10.0,3.5714285714285716,3.114285714285714,0.8815331010452963,0.130468638536551
CWE-763,9,7.333333333333333,1.8,10.0,2.7777777777777777,2.377777777777778,0.6747967479674797,0.13316166708781052
CWE-118,2,6.65,1.8,10.0,2.5,1.8,0.5914634146341464,0.014589625422647915
CWE-943,1,8.8,1.8,10.0,3.0,2.8,0.8536585365853661,0.0
CWE-843,74,8.585135135135133,1.8,10.0,3.3378378378378377,2.951351351351351,0.8274555042847723,1.489991411267597
CWE-178,2,7.550000000000001,1.8,10.0,3.0,2.85,0.7012195121951221,0.01729697859386093
CWE-332,5,7.9799999999999995,1.8,10.0,3.2,3.9,0.7536585365853659,0.0743619671026508
CWE-838,3,8.133333333333335,1.8,10.0,3.0,2.4333333333333336,0.772357723577236,0.03810348907633133
CWE-189,5,6.840000000000001,1.8,10.0,2.6,2.6999999999999997,0.6146341463414636,0.06064471103517155
CWE-21,2,6.4,1.8,10.0,2.5,3.9,0.5609756097560977,0.013837582875088746
CWE-321,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-256,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-275,3,8.133333333333333,1.8,10.0,3.0,2.1333333333333333,0.7723577235772358,0.03810348907633132
CWE-776,7,7.128571428571428,1.8,10.0,2.857142857142857,3.514285714285714,0.6498257839721254,0.0961754983678528
CWE-399,6,6.6000000000000005,1.8,10.0,2.5,2.8166666666666664,0.5853658536585368,0.07219608456568041
CWE-117,1,7.8,1.8,10.0,3.0,1.8,0.7317073170731708,0.0
CWE-300,1,7.4,1.8,10.0,3.0,1.5,0.6829268292682928,0.0
CWE-672,5,6.88,1.8,10.0,2.6,1.9200000000000004,0.6195121951219513,0.061126018265609414
CWE-16,3,7.7,1.8,10.0,3.0,2.5,0.7195121951219513,0.03549640824479286
CWE-1187,15,6.873333333333333,1.8,10.0,2.2666666666666666,2.8799999999999994,0.61869918699187,0.21366030137854414
CWE-99,2,7.8500000000000005,1.8,10.0,3.0,2.75,0.7378048780487806,0.018199429650931933
CWE-216,1,7.8,1.8,10.0,3.0,1.8,0.7317073170731708,0.0
CWE-80,1,5.4,1.8,10.0,2.0,2.3,0.43902439024390255,0.0
CWE-23,1,6.5,1.8,10.0,2.0,2.8,0.5731707317073171,0.0
CWE-371,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-697,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-73,1,9.8,1.8,10.0,4.0,3.9,0.9756097560975611,0.0
CWE-664,1,8.8,1.8,10.0,3.0,2.8,0.8536585365853661,0.0
CWE-18,1,9.8,1.8,10.0,4.0,3.9,0.9756097560975611,0.0
